aug 9/10:33:12.246 DEBUG2 : 		

StartSession()

aug 9/10:33:12.246 INFO   : Debug Log(info): Loading the I-jet driver
aug 9/10:33:17.606 INFO   : Debug Log(info): INFO: Configuring trace using 'ETM,size_limit=100%' setting...

aug 9/10:33:17.606 INFO   : INFO: Configuring trace using 'ETM,size_limit=100%' setting...

aug 9/10:33:17.608 INFO   : Debug Log(info): Trace: Using detected ETMv3CM at address 0xe0041000

aug 9/10:33:17.608 INFO   : Trace: Using detected ETMv3CM at address 0xe0041000

aug 9/10:33:17.608 INFO   : Debug Log(info): Trace: Access to detected ETMv3CM(architecture=3.5) initialized (CONF=0x8c842000, CTRL=0xc40, IDR=0x4114f250)

aug 9/10:33:17.608 INFO   : Trace: Access to detected ETMv3CM(architecture=3.5) initialized (CONF=0x8c842000, CTRL=0xc40, IDR=0x4114f250)

aug 9/10:33:17.608 INFO   : Debug Log(info): Trace: Using detected TPIU at address 0xe0040000

aug 9/10:33:17.608 INFO   : Trace: Using detected TPIU at address 0xe0040000

aug 9/10:33:17.611 INFO   : Debug Log(info): Trace: Probe I-jet-Trace:1158 configured to collect ETM trace, 64MB trace memory used

aug 9/10:33:17.611 INFO   : Trace: Probe I-jet-Trace:1158 configured to collect ETM trace, 64MB trace memory used

aug 9/10:33:17.611 INFO   : Debug Log(info): Trace: Configured as 'ETMv3 to I-jet-Trace' (SW ver:  Trace2=1.38 ETM=1.00 IJT=1.02 Deco=1.43)
aug 9/10:33:17.611 DEBUG2 : 		<- SetupLowLevelTrace()
aug 9/10:33:17.611 DEBUG2 : 		-> AcquireSWOInterface()
aug 9/10:33:17.611 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigSWO')
aug 9/10:33:17.611 DEBUG2 : 		  ISigSWO::LinkAttach('SigEmu',...)
aug 9/10:33:17.611 DEBUG2 : 		  ISigSWO::LinkAttach('SigTerminalLog',...)
aug 9/10:33:17.611 DEBUG2 : 		  ISigSWO::Init('')
aug 9/10:33:17.611 DEBUG2 : 		<- AcquireSWOInterface()
aug 9/10:33:17.611 DEBUG2 : 		-> CreateSigChanInterface()
aug 9/10:33:17.611 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigChan')
aug 9/10:33:17.611 DEBUG2 : 		<- CreateSigChanInterface()
aug 9/10:33:17.611 DEBUG2 : 		-> SetupSigChanInterface()
aug 9/10:33:17.611 DEBUG2 : 		  ISigChan::LinkAttach('SigEmu',...)
aug 9/10:33:17.612 DEBUG2 : 		  ISigChan::LinkAttach('SigTerminalLog',...)
aug 9/10:33:17.612 DEBUG2 : 		  ISigChan::LinkAttach('SigXTrace',...)
aug 9/10:33:17.612 DEBUG2 : 		  ISigChan::Init('null')
aug 9/10:33:17.612 DEBUG2 : 		  ISigChan::AcquireInterface('ISigChanReader')
aug 9/10:33:17.612 DEBUG2 : 		  ISigChanReader::GotoBegin()
aug 9/10:33:17.612 DEBUG2 : 		<- SetupSigChanInterface()
aug 9/10:33:17.613 DEBUG2 : 		  ISigSWO::SetSWO_Mode(1)
aug 9/10:33:17.613 DEBUG2 : 		  ISigSWO::SetEmu_Pin(SIGSWO_Pin_TDO)
aug 9/10:33:17.613 DEBUG2 : 		  ISigSWO::SetEmu_SpeedCPU(168000) -> 168000
aug 9/10:33:17.613 DEBUG2 : 		  ISigSWO::GetEmu_SpeedCPU() -> 168000000
aug 9/10:33:17.613 DEBUG2 : 		  ISigSWO::SetSWO_ClockDiv(0)
aug 9/10:33:17.613 DEBUG2 : 		  ISigSWO::Enable()
aug 9/10:33:17.613 DEBUG2 : 		  ISigSWO::SetITM_Port_Enable(3f)
aug 9/10:33:17.614 DEBUG2 : 		  ISigSWO::SetITM_CntEvent(1f)
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm portsize=4') -> Ok
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm halfrate=off') -> Ok
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm portmode=1:1') -> Ok
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm data=none') -> Ok
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('ctrl stop=cpustop') -> Ok
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm stall=off') -> Ok
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm pc=all') -> Ok
aug 9/10:33:17.615 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm update') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm portsize=4') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm halfrate=off') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm portmode=1:1') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm data=none') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('ctrl stop=cpustop') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm stall=off') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm pc=all') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('etm update') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		  ISigXTrace::ExecuteCmd('enable') -> Ok
aug 9/10:33:17.616 DEBUG2 : 		ISigA2d::ChanCnt(0) = 1
aug 9/10:33:17.616 DEBUG2 : 		ISigA2d::ChanName(0) = ITrgPwr
aug 9/10:33:17.616 DEBUG2 : 		ISigA2D::ChanAttr(0) = 311a1
aug 9/10:33:17.616 DEBUG2 : 		ISigA2D::ChanUnit(0) = 1
aug 9/10:33:17.616 DEBUG2 : 		ISigA2D::ChanMax(0) = 700000
aug 9/10:33:17.616 DEBUG2 : 		ISigA2D::ChanOffset(0) = 0
aug 9/10:33:17.616 DEBUG2 : 		ISigA2D::ChanOffset(0) = 12
aug 9/10:33:17.616 DEBUG2 : 		ISigA2D::ChanID(0) = 0x200
aug 9/10:33:17.616 DEBUG2 : 		  ISigSWO::SetITM_PCSampling(8192)
aug 9/10:33:17.618 DEBUG2 : 		ISigA2D::StreamDisable() [TdJetPower::SendLogsForId]
aug 9/10:33:17.618 DEBUG2 : 		ISigA2D::StreamAdd(0) = -5 [TdJetPower::SendLogsForId(0)]
aug 9/10:33:17.618 INFO   : Debug Log(warning): Could not measure 'ITrgPwr' when ETM/ETB mode is active.
aug 9/10:33:17.618 DEBUG2 : 		ISigA2D::StreamEnumFreq(0,0) = 200000
aug 9/10:33:17.628 DEBUG2 : 		  ISigSWO::SetITM_ExcTrc(1)
aug 9/10:33:17.632 DEBUG2 : 		<- SetupTrace()
aug 9/10:33:17.632 DEBUG2 : 		-> SetupProfiling()
aug 9/10:33:17.632 INFO   : Debug Log(info): Trace/Streaming: Configured for ETMv3  (alternative branch encoding).

aug 9/10:33:17.632 INFO   : Trace/Streaming: Configured for ETMv3  (alternative branch encoding).

aug 9/10:33:17.632 INFO   : Debug Log(info): Trace/Streaming: Disabled.

aug 9/10:33:17.632 INFO   : Trace/Streaming: Disabled.

aug 9/10:33:17.636 DEBUG2 : 		<- SetupProfiling()
aug 9/10:33:17.637 DEBUG2 : 		SetCodeBreak(<0:0x8013ef8>, 1 units, 'Code @ main.c:1075.9, type: default (auto) ')
aug 9/10:33:17.637 DEBUG2 : 		  SetCodeBreak(): BreakSetAttr(bank 0, count 1, addr 0x8013ef8, attr <0x20009: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_HW>)
aug 9/10:33:17.637 DEBUG2 : 		  SetBreakpoint(): BreakGetAttr(bank 0, count 1, addr 0x8013ef8, attr <0x20409: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_HW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
aug 9/10:33:17.637 DEBUG2 : 		SetCodeBreak(<0:0x80135aa>, 1 units, 'Code @ main.c:356.2, type: default (auto) ')
aug 9/10:33:17.637 DEBUG2 : 		  SetCodeBreak(): BreakSetAttr(bank 0, count 1, addr 0x80135aa, attr <0x20009: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_HW>)
aug 9/10:33:17.637 DEBUG2 : 		  SetBreakpoint(): BreakGetAttr(bank 0, count 1, addr 0x80135aa, attr <0x20409: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_HW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
aug 9/10:33:17.678 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010184, 4 bytes [by 4] = [ 29 52 02 08 ])
aug 9/10:33:17.678 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010178, 4 bytes [by 4] = [ 21 52 02 08 ])
aug 9/10:33:17.678 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010100, 4 bytes [by 4] = [ b5 51 02 08 ])
aug 9/10:33:17.679 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010120, 4 bytes [by 4] = [ 57 3c 02 08 ])
aug 9/10:33:17.679 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010124, 4 bytes [by 4] = [ cd 51 02 08 ])
aug 9/10:33:17.679 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010128, 4 bytes [by 4] = [ d1 51 02 08 ])
aug 9/10:33:17.679 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801012c, 4 bytes [by 4] = [ d5 51 02 08 ])
aug 9/10:33:17.679 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010130, 4 bytes [by 4] = [ d9 51 02 08 ])
aug 9/10:33:17.679 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010150, 4 bytes [by 4] = [ f9 51 02 08 ])
aug 9/10:33:17.679 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010154, 4 bytes [by 4] = [ fd 51 02 08 ])
aug 9/10:33:17.680 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010158, 4 bytes [by 4] = [ 01 52 02 08 ])
aug 9/10:33:17.680 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801006c, 4 bytes [by 4] = [ 51 51 02 08 ])
aug 9/10:33:17.680 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010070, 4 bytes [by 4] = [ 55 51 02 08 ])
aug 9/10:33:17.681 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010074, 4 bytes [by 4] = [ 37 48 01 08 ])
aug 9/10:33:17.681 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010078, 4 bytes [by 4] = [ 59 51 02 08 ])
aug 9/10:33:17.681 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801007c, 4 bytes [by 4] = [ 43 48 01 08 ])
aug 9/10:33:17.681 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010080, 4 bytes [by 4] = [ 5d 51 02 08 ])
aug 9/10:33:17.681 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010084, 4 bytes [by 4] = [ 61 51 02 08 ])
aug 9/10:33:17.681 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100fc, 4 bytes [by 4] = [ b1 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010054, 4 bytes [by 4] = [ 39 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100cc, 4 bytes [by 4] = [ 91 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100d0, 4 bytes [by 4] = [ 95 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801010c, 4 bytes [by 4] = [ bd 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100cc, 4 bytes [by 4] = [ 91 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100cc, 4 bytes [by 4] = [ 91 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801010c, 4 bytes [by 4] = [ bd 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010104, 4 bytes [by 4] = [ b9 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010088, 4 bytes [by 4] = [ 65 51 02 08 ])
aug 9/10:33:17.682 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010088, 4 bytes [by 4] = [ 65 51 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010088, 4 bytes [by 4] = [ 65 51 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801015c, 4 bytes [by 4] = [ 05 52 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100d4, 4 bytes [by 4] = [ 13 48 01 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100d8, 4 bytes [by 4] = [ 99 51 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100dc, 4 bytes [by 4] = [ 1f 48 01 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010118, 4 bytes [by 4] = [ c5 51 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010044, 4 bytes [by 4] = [ 29 51 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010160, 4 bytes [by 4] = [ 09 52 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010164, 4 bytes [by 4] = [ 0d 52 02 08 ])
aug 9/10:33:17.683 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100c4, 4 bytes [by 4] = [ 39 3c 02 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100c8, 4 bytes [by 4] = [ 4d 3c 02 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100bc, 4 bytes [by 4] = [ 2f 3c 02 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100c0, 4 bytes [by 4] = [ 43 3c 02 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010040, 4 bytes [by 4] = [ 6d 5a 01 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801004c, 4 bytes [by 4] = [ 31 51 02 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100e4, 4 bytes [by 4] = [ 19 3c 02 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010110, 4 bytes [by 4] = [ 2b 48 01 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010114, 4 bytes [by 4] = [ c1 51 02 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010110, 4 bytes [by 4] = [ 2b 48 01 08 ])
aug 9/10:33:17.684 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010114, 4 bytes [by 4] = [ c1 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100a0, 4 bytes [by 4] = [ 7d 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100a4, 4 bytes [by 4] = [ 81 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100a8, 4 bytes [by 4] = [ 85 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100ac, 4 bytes [by 4] = [ 89 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100ec, 4 bytes [by 4] = [ a1 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100f0, 4 bytes [by 4] = [ a5 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100f4, 4 bytes [by 4] = [ a9 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100f8, 4 bytes [by 4] = [ ad 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100b0, 4 bytes [by 4] = [ 8d 51 02 08 ])
aug 9/10:33:17.685 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100b4, 4 bytes [by 4] = [ 53 34 01 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100b8, 4 bytes [by 4] = [ 55 34 01 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010108, 4 bytes [by 4] = [ 5f 34 01 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100a0, 4 bytes [by 4] = [ 7d 51 02 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100ec, 4 bytes [by 4] = [ a1 51 02 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100a4, 4 bytes [by 4] = [ 81 51 02 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100f0, 4 bytes [by 4] = [ a5 51 02 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100f4, 4 bytes [by 4] = [ a9 51 02 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100a8, 4 bytes [by 4] = [ 85 51 02 08 ])
aug 9/10:33:17.686 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010118, 4 bytes [by 4] = [ c5 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801011c, 4 bytes [by 4] = [ c9 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010134, 4 bytes [by 4] = [ dd 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010138, 4 bytes [by 4] = [ e1 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100e8, 4 bytes [by 4] = [ 9d 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801014c, 4 bytes [by 4] = [ f5 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801008c, 4 bytes [by 4] = [ 69 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010090, 4 bytes [by 4] = [ 6d 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010094, 4 bytes [by 4] = [ 71 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010098, 4 bytes [by 4] = [ 75 51 02 08 ])
aug 9/10:33:17.687 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801013c, 4 bytes [by 4] = [ e5 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010140, 4 bytes [by 4] = [ e9 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010144, 4 bytes [by 4] = [ ed 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010148, 4 bytes [by 4] = [ f1 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010048, 4 bytes [by 4] = [ 2d 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010058, 4 bytes [by 4] = [ 3d 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801005c, 4 bytes [by 4] = [ 41 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010060, 4 bytes [by 4] = [ 45 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010064, 4 bytes [by 4] = [ 49 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010068, 4 bytes [by 4] = [ 4d 51 02 08 ])
aug 9/10:33:17.688 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801009c, 4 bytes [by 4] = [ 79 51 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801009c, 4 bytes [by 4] = [ 79 51 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80100e0, 4 bytes [by 4] = [ 23 3c 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010168, 4 bytes [by 4] = [ 11 52 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801016c, 4 bytes [by 4] = [ 15 52 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010170, 4 bytes [by 4] = [ 19 52 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010174, 4 bytes [by 4] = [ 1d 52 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80101a0, 4 bytes [by 4] = [ 00 20 84 f8 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x80101a4, 4 bytes [by 4] = [ 3c 00 20 00 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010180, 4 bytes [by 4] = [ 25 52 02 08 ])
aug 9/10:33:17.689 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801017c, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010184, 4 bytes [by 4] = [ 29 52 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010184, 4 bytes [by 4] = [ 29 52 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010000, 4 bytes [by 4] = [ 10 01 01 20 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010004, 4 bytes [by 4] = [ 11 4f 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010008, 4 bytes [by 4] = [ 05 3c 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801000c, 4 bytes [by 4] = [ 07 3c 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010010, 4 bytes [by 4] = [ 09 3c 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010014, 4 bytes [by 4] = [ 0b 3c 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010018, 4 bytes [by 4] = [ 0d 3c 02 08 ])
aug 9/10:33:17.690 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801001c, 4 bytes [by 4] = [ 00 00 00 00 ])
aug 9/10:33:17.691 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801002c, 4 bytes [by 4] = [ 21 51 02 08 ])
aug 9/10:33:17.691 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010030, 4 bytes [by 4] = [ 0f 3c 02 08 ])
aug 9/10:33:17.691 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x8010038, 4 bytes [by 4] = [ 25 51 02 08 ])
aug 9/10:33:17.691 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x801003c, 4 bytes [by 4] = [ 11 3c 02 08 ])
aug 9/10:33:17.691 DEBUG2 : 		SetCodeBreak(<9:0xf000000000000000>, 1 units, 'C-SPY Terminal I/O && library support module')
aug 9/10:33:17.692 DEBUG2 : 		<Call to _ExecDeviceSetup: macro undefined
aug 9/10:33:17.692 DEBUG2 : 		<Call to execUserSetup: macro undefined
aug 9/10:33:17.695 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000e110, 2048 bytes [by 0] = [ cd cd cd cd cd cd cd cd ... ])
aug 9/10:33:17.699 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000e910, 2048 bytes [by 0] = [ cd cd cd cd cd cd cd cd ... ])
aug 9/10:33:17.702 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000f110, 2048 bytes [by 0] = [ cd cd cd cd cd cd cd cd ... ])
aug 9/10:33:17.705 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000f910, 2048 bytes [by 0] = [ cd cd cd cd cd cd cd cd ... ])
aug 9/10:33:17.714 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000e110, 2048 bytes [by 0] = [ cd cd cd cd cd cd cd cd ... ])
aug 9/10:33:17.717 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000e910, 2048 bytes [by 0] = [ cd cd cd cd cd cd cd cd ... ])
aug 9/10:33:17.720 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x2000f110, 2048 bytes [by 0] = [ cd cd cd cd cd cd cd cd ... ])
